乱前看不足	不足
清辉碎更随	碎
人间无太白	人间
欲捉可凭谁	捉
柘冈西路白云深	深
想子东归得重寻	重寻
亦见旧时红踯躅	红
为言春至每伤心	伤心
四山面面玉成围	玉
只许閒云去又归	只许
更有小轩人不到	人
落花狼籍点苔衣	衣
我在闽南君在吴	君
尺书三载寄君无	三载
愁来但洒相思泪	泪
一夜风吹到五湖	一夜
耻与俗同犀	耻
惟有身随影	影
不谓世尘中	世
梅亦更此境	梅
亭亭堤上梅	梅
历历波间影	影
岁晚忆夫君	忆
寂寞烟渚静	寂寞
乱山深处碧波流	流
隔岸垂杨击小舟	垂杨
无数桃花伴春梦	桃花
梦中还作武陵游	游
花气醺人似酒醇	人
东风随处扫香尘	东风
不知画舫琵琶月	月
载得南湖几度春	春
吉日初开种稻包	包
南山雷动雨连宵	雨
今年不欠秧田水	水
新涨看看拍小桥	小桥
矗矗山光映	山
团团树影重	重
断猿啼午夜	啼
孤鹤唳秋风	秋风
老眼山林自是宜	山林
卧龙春晚夕阳迟	迟
芒鞋竹杖经行遍	遍
绝胜篮舆喝道时	篮舆
松叶堪为酒	酒
春来酿几多	春来
不辞山路远	远
踏雪也相过	踏雪
千花万萼委尘埃	尘埃
只有荼裛独自开	荼
应是邻家更零落	零落
过墙蝴蝶又飞来	飞来
华亭霁色满今朝	今朝
云里樯竿去转遥	竿
莫怪山前深复浅	山前
清淮一日两回潮	一日
孤城高倚汉江秋	秋
血战三年死未休	死
铁石肝肠忠义胆	铁石
精灵常向岘山留	岘
满树铁冠琼树枝	枝
樽前烛下心相知	心
明朝又与白云远	白云
自古河梁多别离	别离
翩翩水鸟自沉浮	翩翩
红蓼黄芦两岸秋	秋
隔水人家一犬吠	犬吠
斜阳篱落有渔舟	斜阳
茂阴深处击寒冰	深处
洗得娘生两耳清	清
塞断不听呼小玉	塞断
顺风来听偃溪声	溪声
嫋嫋柔丝不自持	自持
更禁日炙与风吹	日
仙家见惯浑闲事	浑
乞与人间看一枝	人间
二月吾庐感物华	二月
伤春多在别人家	家
今年莫使春憔悴	春
能有几番归看花	看花
珍木文禽玉佩环	环
清都绛阙色阑玕	色
香山居士蓬莱院	蓬莱
借与王郎梦里看	梦里
冠盖成阴中路回	冠盖
独携莲社道人来	道人
千岩万壑初相识	万壑
分付晴岚面面开	面面
寒食风埃满客襟	寒食
西湖烟雨送愁频	西湖
日高未起鸟呼梦	梦
春晚不归花笑人	人
嫩蕊商量渐满枝	渐
刘郎对境久忘机	久
折来不拟供樽俎	供
要与游蜂作伴归	游蜂
西山鸾鹤少因缘	少
只向天平住一年	住
无限别来惆怅事	无限
紫藤花落寺门前	门前
纵令日日醉春风	日日
已恨花无十日红	花
何事东君长作恶	何事
不容春色丽晴空	春色
北望中原泪满巾	中原
黄旗空想渡河津	津
丈夫穷死由来事	由来
要是江南有此人	江南
北斗藏身句	句
商量几万般	商量
贪观天上月	月
谁觉骨毛寒	寒
秋清寂无事	无事
卧病竹间房	房
日晚庭风落	日晚
时闻药草香	药
夕照纱窗起暗尘	夕照
青松绕殿不知春	春
君看白首诵经者	白首
半是宫中歌舞人	人
江梅留待主人还	主人
见说归时得饱看	归时
回首残花飞作雪	飞
一峰当户正高寒	高寒
桐角声中春欲归	声中
一番桃李又空枝	桃李
杨花好与春将息	春
莫被东风容易吹	东风
日薄霜清水见沙	沙
水边偶到野人家	家
满阶风叶浑慵扫	浑
为爱深红似落花	爱
雨后溪流深更深	深
倚栏照见一生心	心
青山只在桥南北	青山
枉自穿云渡水寻	寻
丙丁童子来求火	火
南方丙丁又属火	属
按剑宗师奈若何	若何
是君心下意不过	意
虚空无处所	无处
仿佛似琉璃	琉璃
诗境何人到	何人
禅心又过诗	诗
玉楼琼树晓烟披	披
拥衲开门四望学	学
清旷世人谁似我	世人
雪中更到子猷溪	溪
两重门里玉堂前	前
寒食花枝月午天	天
想得那人垂手立	人
娇羞不肯上秋千	不肯
吴头楚尾将三载	三载
芡觜梨腮又一秋	梨
岂为鲈鱼觅归去	归去
在家饮水百无忧	饮水
古人长抱济人心	古人
道上栽松直到今	道
今日若能增种植	今日
会看百世长青阴	阴
烂熳花阴覆短墙	烂熳
花开时候日偏长	日
道人不被春勾引	春
到处惟闻檐蔔香	香
菊是去年依旧黄	黄
风从花里过一香	花里
杯中要作茱萸伴	伴
更令诗人入醉乡	诗人
长淮不断水悠悠	水
楼下行人淮上楼	行人
谁谓满前风景好	风景
古今供作别离愁	古今
定光金地遥招手	金
智者江陵暗点头	暗
已是白头千万里	白头
那堪於此未知休	休
东篱九日富黄花	黄花
节物惊心祗自嗟	嗟
尽日馨香留我醉	醉
银瓶索酒不须赊	不须
石磴不可攀	不可
前头有积雪	前头
安得冰玉人	人
对此清高节	节
花木最无情	最
春风一番好	春风
人怜新态度	新
一岁一回老	一岁
翠带悬珰重	重
凌波步步轻	轻
春深不成怨	怨
锦瑟夜无声	夜
青山四合绕天津	青山
风景依然似洛滨	风景
江左于今成乐土	成
新亭垂泪亦无人	无人
已到平生未到山	山
朝来白水涨田间	朝来
要须乐事成三绝	成
更倩诗翁露一斑	露
老树枯藤蔓草缠	老树
萧萧独立傲风烟	萧萧
涧池飞下如拳石	飞
知有山灵护冷泉	护
世故相逢各未闲	相逢
百年多在别离间	间
昨夜秋风今夜雨	雨
不知何处入空山	空山
懒从原上访桃花	桃花
又不青门去种瓜	青门
传得神仙蝉蜕法	神仙
君如觅我问烟霞	问
五月榴花忽见春	春
白头喜遇一番新	新
可能略不解春意	解
只有寻枝摘叶人	人
一夕心期一种欢	一种
那知疏散负杯盘	杯盘
尊前数片朝云在	尊前
不许冯公子细看	子
忆昔瑶池侍宴时	瑶池
碧桃花下酒盈卮	花下
今朝醉里看图画	今朝
羞对东风两鬓丝	东风
绕堤杨柳暗渔舟	杨柳
二月风光淡似秋	风光
几度笙歌人散后	笙歌
夕阳依旧满红楼	夕阳
原头日落雪边云	云
犹放韩卢逐兔群	群
况是四方无事日	日
霸陵谁识旧将军	旧
款款穿芳径	穿
双双度短墙	度
不知身是幻	幻
抵死恋花香	花香
人道耶溪好	人
青山罨画开	青山
荷花三百里	荷花
无数白鸥来	无数
三千功满去升天	三千
一住人间数百年	人间
华表他时却归日	日
沧溟应恐变桑田	变
四山寒雨送行舟	舟
独掩柴扉泪未收	泪
归见故人应问我	故人
为言卒岁敢优游	卒岁
炯炯长空一片心	心
东南鼎立统斯文	东南
卷藏万古春归去	春
只有余光在此君	此君
青春不与老相期	期
归雁声中数别离	数
折柳西城真旦暮	折柳
镜中白发已如斯	白发
一声何处叫提壶	一声
杨柳阴中驻犊车	杨柳
笑语谁家騃儿女	谁家
浣纱溪上数游鱼	数
三伏熏蒸四大愁	愁
暑中方信此生浮	浮
岁华过半休惆怅	休
且对西风贺立秋	西风
题诗客子鬓如银	鬓
壁上题诗墨尚新	新
犬已久忘曾宿客	曾
半山风铎似迎人	半山
花映垂杨汉水清	清
微风林里一枝轻	轻
即今江北还如此	江北
愁杀江南离别情	愁
蓼芽蔬甲簇青红	芽
盘箸纷纷笑语中	纷纷
一饼不分空恨望	分
暮年知有几春风	春风
萧萧衰鬓点新霜	萧萧
人静房栊易断肠	易
等是闭门愁里过	闭门
任教风雨坏重阳	风雨
西湖日日可寻芳	日日
楼上凭栏意未忘	忘
斫取荷花三万朵	荷花
作他贫女嫁衣裳	衣裳
玉阑干外木犀开	玉
应是西风昨夜来	西风
宫女不知清露重	清
折花偷插凤凰钗	插
青羊宫中竹暗天	天
白马庙畔柏如山	畔
琴尊处处可消日	消日
车马纷纷自欠闲	闲
偶来松树下	松树
高枕石头眠	眠
山中无历日	山中
寒尽不知年	年
梅梢春色弄微和	弄
作意南枝剪刻多	南枝
月黑林间逢缟袂	月
霸陵醉尉误谁何	误
梦绕孤山欲断魂	孤山
竹篱茅舍雨纷纷	雨
何心更作巡檐事	巡檐
明月枝头照泪痕	明月
造化须臾变物华	变
园林无处不梅花	梅花
三间矮屋清溪上	三间
疑似林逋处士家	家
庞老多年不入州	州
一竿危坐石溪头	石
山中饱食鱼羹饭	山中
不博人间万户侯	人间
念念还乡未得还	未得
偶因送客到龙山	送客
分明认得西归路	西
只是回车却入关	回车
四序风光总是愁	愁
鬓毛衰飒涕横流	鬓毛
此书未到心先到	心
想在孤城海岸头	想
十二琼楼紫翠重	十二
万年琪树落秋风	落
南朝无限伤心事	无限
都在残山剩水中	水中
山雨萧萧不肯住	住
天寒云愁光景昏	昏
桃李红白春风面	春风
有恨无言空泪痕	空
欹眠侧耳数寒更	眠
欲起未起心不平	心
何似山间浑睡足	浑
卧看红日上窗明	红日
莫要作圆月	圆月
才圆却又亏	圆
不如作一半	一半
犹有向圆时	犹
蘸岸烟波檥画船	烟波
幅巾萧散饯流年	幅巾
两行杨柳吹晴雪	吹
只著啼莺未著蝉	蝉
洲以檀槽旧得名	旧
风来草木自成声	声
青衫司马令人恨	恨
只作浔阳送客行	行
一树寒梅白玉条	一树
迥临村路傍溪桥	傍
应缘近水花先发	近水
疑是经春雪未销	经春
随云步入青牛谷	谷
青牛道士留我宿	留
可怜夜久月中行	月
惟有坛边一枝竹	一枝
清溪便种稻	清溪
秋晚连云熟	熟
不待见新舂	新
西风芗自足	西风
万里相逢贪握手	万里
蓬门今始为君开	今始
留连城郭今如此	城郭
有底忙时不肯来	忙
河豚荻笋春风老	春风
鲈鱠莼丝秋水寒	寒
多少侯门天样阔	阔
算来何似钓船宽	宽
西塞云山远	远
东风道路长	东风
人心胜潮水	胜
相送过浔阳	送
翠楼春酒虾蟆陵	春酒
长安少年皆共矜	长安
纷纷半醉绿槐道	道
蹀躞花骢骄不胜	蹀躞
满院泉声水殿凉	凉
疏帘微雨野松香	野
东峰下视南溟月	月
笑踏金波看海光	笑
一曲长歌行路难	一曲
昏鸦归尽倚阑干	干
不知楚水巴山地	楚水
更有高楼鸟外看	高楼
腊残滕六不归家	归家
白昼乘风撒玉沙	乘风
旋种琼田茁瑶草	瑶草
更栽琪树著银花	栽
万古未来事	万古
先天逆已知	已知
卦中无不有	无不
却要后天推	推
自有诗来几许诗	诗
玉堂吹彻又茅茨	玉堂
阿谁不爱梅花句	梅花
未省梅花爱阿谁	梅花
尽心堂上得心传	堂上
妙处机缄共一天	一天
玉骨冰姿更相似	相似
黑头只欠著貂蝉	黑头
得便宜是落便宜	落
几万人中有个知	几万
此日冬窝无事客	客
埋头更学十分痴	十分
二水来从翠岭头	翠
相逢涧谷却同流	相逢
冷光如镜清人骨	骨
探借山间六月秋	秋
几对春风把酒杯	春风
小舟临发更徘徊	徘徊
四明狂客重来日	日
庭下榴花开未开	未开
城外萧萧北风起	萧萧
城上健儿吹落耳	耳
将军玉帐貂鼠衣	衣
手持酒杯看雪飞	酒杯
春去人间日正长	日
天工催促绿阴忙	忙
古槐高柳争新意	争
自是无人知底凉	无人
莫作溪流看	溪流
天命无穷已	无穷
诗人若知得	诗人
千古可坐致	千古
渺渺秋风生白波	生
故乡归梦隔山河	隔
可怜一纸平安信	信
不及衡阳雁字多	不及
秋林薄薄半栖鸦	栖鸦
城脚荷花一带斜	斜
碧色暮云三万里	万里
不知鱼网是谁家	谁家
鳌头移得山三岛	山
月下传来灯万枝	灯
香陌马嘶红萼锦	锦
翠楼人倚绿杨眉	人
尘外分明一锦屏	分明
南楼相对竞峥嵘	相对
却缘造化生来别	造化
不信丹青画得成	信
辇路江枫暗	暗
宫庭野草春	春
伤心庾开府	伤心
老作北朝臣	北
杨柳垂丝拂画船	杨柳
杏花零落断桥边	杏花
半山烟雨东风恶	东风
更向西亭听杜鹃	杜鹃
物理窥开后	物理
人情照破时	人情
能将函谷塞	塞
只用一丸泥	泥
双眉如黛发如云	发
背立踟蹰避使君	避
忽觉香风来陌上	陌上
回身微动石榴裙	微动
芳菲不得驻	芳菲
会取余春不	会取
欲知回首处	回首
渭曲苍茫间	间
道是东风不世情	道
树头吹得叶冥冥	叶
凭栏一笑斜阳裹	一笑
贪看春山如许青	青
玉皇前殿掌书仙	玉皇
一染尘心下九天	九天
莫怪浓香薰骨腻	浓香
云衣曾惹御炉烟	曾
我昔泝三峡	昔
仰天如匹练	仰天
安得中天月	月
正用此时见	此时
帝城云物得阳春	阳春
水国烟花失主人	主人
昨日天风吹乐府	吹
六宫丝管一时新	新
支筇步履踏莓苔	踏
小院无人燕子来	无人
最是东风难管领	东风
梨花落尽杏花开	杏花
杨柳如丝拂画桥	杨柳
此中留语欲魂销	魂销
还愁别后巴东馆	馆
独听空江半夜潮	半夜
岭上千峰秀	千峰
江边细草春	春
今逢浣纱石	石
不见浣纱人	人
有唐太和年	年
宫中亦甘露	宫中
曾不如此台	曾
空山自甘霪	空山
石室空无主	空
浮云自去来	浮云
人间春雨足	人间
归意带风雷	风雷
处处桃花处处村	桃花
盎然天地一家春	春
不须更踏桃村路	不须
只要桃村见主人	主人
溪上清风柳万重	柳
绿烟无路月朦胧	月
船头忽逐回塘转	转
一水迢迢却向东	迢迢
尉佗城下两重阳	重阳
白酒黄鸡意自长	白酒
卯饮下床虚已散	饮
老年不似少年忙	忙
夜来莫说西山冷	冷
见说庐山夏有冰	冰
直恐与君相别后	君
错听猿啸作琴声	错
逍遥社里周夫子	夫子
太极图成昼掩关	图成
欲验个中真动静	动静
终朝临水对庐山	临水
青山忽断开平陆	青山
鸡犬人烟太古风	风
野老诛茅宁有意	有意
一生身在翠微中	一生
水纹珍簟思悠悠	悠悠
千里佳期一夕休	休
从此无心爱良夜	爱
任他明月下西楼	明月
满路黄尘人往还	黄尘
黄尘点污几青山	青山
便投山店睡过午	睡
要放诗魂出世间	世间
凄凄吹笛裂寒云	寒云
羁客难禁醒坐闻	醒
声逐逝波流不断	流
月明吹老戌回军	吹
大海波涛浅	浅
小人方寸深	深
海枯终见底	海枯
人死不知心	心
水边剥啄打门谁	水边
满袖清风一纸诗	诗
惊起放翁蝴蝶梦	惊起
半窗寒日欲斜时	斜
金镊洗霜鬓	金
银觥敌露桃	敌
醉头扶不起	扶不起
三丈日还高	日
城郭有时变	有时
市朝回首非	非
谁为辽鹤说	辽鹤
第一莫来归	第一
霜拂金鞍玉坠腰	霜
鸡声催入紫宸朝	紫宸
何如云壑饱清梦	何如
残月半窗松影摇	松
布衾纸帐饯残冬	布
老眼俄惊晓日红	红
好梦追寻忘首尾	忘
但闻窗外竹摇风	竹
孤舟晚溪口	晚
欲去重回首	重
不忍别青山	青山
况此山中友	山中
两山正作修眉绿	绿
一水犹如疋练横	横
竟日书窗览今古	今古
几年人世少豪英	少
花开春正好	春
花谢春还暮	春
不意子规禽	禽
犹能道归去	道
爱梅来访小春花	小
闲卧云房避俗哗	避俗
唤醒昏昏尘世梦	梦
旋移石鼎煮新茶	石鼎
万里倦行役	万里
秋来瘦几分	瘦
因看河北月	月
忽忆海东云	云
洞庭湖里失却船	船
赤脚波斯水底眠	眠
尽大地人呼不起	尽大
春风吹入杏花村	春风
千载江湖共此心	江湖
老来相见怕分襟	分襟
手搔白发望君至	手
车马不来溪水深	深
天不欲留春	天
东君暗归去	归去
碧梧枝上看	枝上
潇潇风送雨	风
白露下玉除	白露
风清月如练	月
坐看池上萤	坐
飞入昭阳殿	殿
红树中间飞白云	飞
黄茅槛底界斜曛	斜
此中大有逍遥处	逍遥
难说於君画与君	君
触目尽是清净地	清净
清净地上无佛住	住
赵州教人急走过	人
狸奴倒上菩提树	倒
不嫁当年自薄情	当年
一朝跨鹤上青冥	一朝
人间有女能如此	人间
羞杀天边织女星	星
千首清诗竞夜长	竞
真成蝴蝶为春忙	蝴蝶
莫教流落人间少	人间少
雷电它时下取将	雷电
烟水初销见万家	万家
东风吹柳万条斜	东风
大堤欲上谁相伴	相伴
马踏春泥半是花	花
河水浮落花	落花
花流东不息	东
应见浣纱人	人
为道长相忆	道
水殿凉生独不眠	不眠
风来忽谩凤笙传	忽
寻常明月娟娟夜	夜
似向今宵分外圆	圆
萧然上方境	萧然
人稀知地僻	人稀
徙闻古仙人	闻
石上有遗迹	石上
谁闻玉磬即过门	闻
漫说金灯不破昏	昏
等是此身俱物化	俱
云何五百至今存	存
不见诗仙何逊来	诗仙
春风几度早梅开	春风
竹篱茅舍自清绝	竹篱
未用移根东阁栽	栽
沉香亭畔方移种	亭
已见黄尘动地来	黄尘
幸有爱花朱处士	处士
至今留得百枝开	留
人间离别最堪怜	人间
天上嫦娥恐亦然	天上
昨夜广寒分破镜	分
半奁飞上九重天	飞
乐府仙韶奏九成	奏
披香别殿瑞烟凝	瑞
紫云不待传新曲	紫云
春在瑶台第一层	春
嫩寒猎猎酒旗斜	斜
古路西风欲暮鸦	西风
何处飞来双蛱蝶	双
也知篱落有黄花	黄花
年年长是阻佳期	年年
万种恩情只自知	自知
春色转添惆怅事	春色
似君花发两三枝	两三枝
琼楼金屋映丹霞	映
只把仙家比内家	仙家
落日美人秋水上	落日
红妆一面乱荷花	乱
前朝无限贵公卿	无限
后世徒能记姓名	记
唯此天津桥下水	水
古今都作一般声	声
歌舞当年第一流	当年
姓名赢得满青楼	姓名
多情未了身先死	死
化作芙蓉也并头	头
十二阑干一院花	花
春风犹忆旧京华	春风
翠云不隔西湖路	路
梦入咸平处士家	家
青云台殿泉声隔	隔
黄叶关河雁影来	黄叶
别有诗人好怀抱	诗人
西风双鬓一登台	西风
堤上淡黄柳	柳
水中花白鹅	水中
诗情随处有	随处
此地得偏多	偏
缥缈云边罨画楼	缥缈
空蒙雨外木兰舟	舟
谁知老子清狂甚	甚
独占城南十里秋	秋
黄扉处士掩松关	掩
小立松风去住难	难
可叹山中真宰相	山中
未容神武挂衣冠	挂
烟浓日淡不多寒	烟浓
担上看花雪作团	看花
想得竹边春已暗	春
明朝走马过溪看	走马
层层石磴绕青云	绕
绿树浓阴路不分	绿树
半面斜阳还返照	斜阳
晴烟一缕碧氤氲	碧
晨兴风色恶	恶
日晏汲归迟	汲
宁与闺中诀	闺中
莫令堂上饥	堂上
风柳摇摇无定枝	枝
阳台云雨梦中归	梦中
他年蓬岛音尘绝	年
留取尊前旧舞衣	旧
青山临黄河	青山
下有长安道	道
世上名利人	人
相逢不知老	相逢
只有天在上	天在
更无山与齐	山
举头红日近	红日
回首白云低	白云
荐士今谁有古风	古风
不论疎戚与穷通	穷通
怜渠报国河南尹	报国
愧我无私第五公	愧
相思只恨难相见	难
相见还愁却别君	相见
愿得化为松上鹤	松
一双飞去入行云	飞去
红颗真珠诚可爱	真珠
白须太守亦何痴	太守
十年结子知谁在	十年
自向中庭种荔枝	种
李白才名天下奇	天下
开元人主最相知	人
夜郎不免长流去	长流
今日书生敢望谁	今日
寄语双莲子	双
须知用意深	深
莫嫌一点苦	苦
便拟弃莲心	弃
一径横穿藓翠封	翠
满空声动玉琤淙	玉
林居岂是无修竹	修竹
未有清阴似此浓	浓
春溪缭绕出无穷	无穷
两岸桃花正好风	风
恰是扁舟堪入处	扁舟
鸳鸯飞起碧流中	飞
行过中村五里头	头
湖南地尽到袁州	湖南
荆南更在湖南外	外
一片白云天际浮	白云
素衣喜不污缁尘	尘
贞女江头见似人	江头
桃李门墙零落尽	桃李
江南犹有一枝春	犹
重重汗简拥衰翁	重重
百里家山梦不通	山
病眼可令常寂寞	寂寞
烦君为致数枝红	红
雨过梅黄五月天	天
风林密处渐闻蝉	蝉
直须破浪销烦暑	销
一顷波光一棹烟	烟
丛菊疏疏著短篱	疏疏
重阳前后始盈枝	始
托根占得中央色	色
不比凡花儿女姿	儿女
西北秋风凋蕙兰	秋风
洞庭波上碧云寒	寒
茂陵才子江陵住	住
乞取新诗合掌看	新诗
一年始有一年春	春
百岁曾无百岁人	人
能向花前几回醉	醉
十千沽酒莫辞贫	贫
忆到夔门正月初	月初
竹枝歌舞拥肩舆	拥
当时光景应如昨	当时
绿鬓治中八十余	绿鬓
飞梁谁字小垂虹	小
波面蜿蜒去不穷	不穷
一段风烟无处觅	觅
鸳鸯鸂鶒在其中	鸳鸯
天地广无边	天地
何云藏北斗	藏
跛脚老云门	跛脚
未明三八九	明
十日春阴到水亭	十日
水边杨柳一时青	青
梅花过尽桃花恶	梅花
乞取山礬入净瓶	乞取
终日昏昏醉梦间	终日
忽闻春尽强登山	强
因过竹院逢僧话	僧
又得浮生半日闲	浮生
玉皇殿前掌书仙	殿前
一染尘心谪九天	九天
莫怪浓香薰骨腻	浓香
霞衣曾惹御炉烟	曾
千载朱弦无此悲	千载
欲弹孤绝鬼神疑	疑
故人舍我闭黄壤	故人
流水高山心自知	心
天女吹香到酒边	吹香
不须更著水沉烟	不须
明年正月披香殿	殿
人在玉皇香案前	人
渺渺春江空落晖	空
旅人相顾欲沾衣	沾衣
楚王宫外千条柳	柳
不遣飞花送客归	飞花
春随落絮去堂堂	堂堂
白发相看作许长	白发
人物如公犹未节	犹未
诸生何敢薄淮阳	薄
楚囚对泣欲何如	何如
江左图王计策疏	疏
风景不殊人自老	人
令人更忆管夷吾	令人
王侯多第宅	王侯
草满玉阑干	玉
纵有春光在	春光
人谁看牡丹	人
幽燕地冷无春晖	春晖
此时道归郎不归	道
今朝朔风欺远客	今朝
又还无处寄寒衣	寄
瑶坛醮罢晚云开	罢
羽客分飞俗士回	飞
为报移文不须勒	不须
未曾游处待重来	重来
暗雨落漫漫	落
山中五月寒	寒
大江浑不觉	浑
溪壑有惊湍	惊
渺渺云山去几重	云山
依依独听广陵钟	依依
明朝借问南来客	客
五马双旌何处逢	五马
且看双放更双收	双收
有底欢声有底愁	愁
一切圣贤如电拂	拂
大千沙界海中沤	沤
四壁蛩吟白露团	四壁
西园清夜为谁欢	欢
千家门闭中秋月	千家
只有愁人独自看	愁人
小立东风半掩门	东风
杨花扑面也亲人	杨花
妾心已作沾泥絮	心
不化浮萍到水滨	水滨
分明得道谢自然	道
古来漫说尸解仙	仙
如花年少一女子	如花
身骑白鹤游青天	游
老火烧空未拟收	收
忽惊快雨破新秋	破
晚云浓淡落日下	落日
已似楚江南岸头	南
岁披草棘访槎牙	岁
为爱凌霜傲雪花	爱
不学春花娇女面	面
朱帘翠幕几重遮	遮
谁将弱水隔蓬莱	隔
对酒思君眼倦开	对酒
醉梦只堪逢故旧	只堪
五更酒醒却归来	归来
莫解丁香结	结
从教长苦辛	从教
郤因千种恨	恨
别作一家春	春
洛阳园里草茵寒	寒
梦想尧夫一寸丹	一寸
安得根头知上品	安
今人多是就花看	花
檐间清风簟	间
松下明月杯	明月
幽意正如此	幽意
况乃故人来	故人
长淮万里秋风客	万里
独上高楼望秋色	秋色
说与南人未必听	人
神州只在阑干北	北
千钟圣酒御筵披	御
六出祥英乱绕枝	乱
即此神仙对琼圃	神仙
何烦辙迹向瑶池	迹
多情节物苦撩人	苦
用事葩华巧鬭新	新
老去唯愁添甲子	添
年来不独畏庚申	年
小镂松梢作管城	小
肉枯鳞瘦不妨轻	轻
快随醉客翩翩处	翩翩
尚带山头风雨声	山头
松竹径从幽壑转	转
茅茨门向乱山开	门
时闻好鸟林间语	语
更有鸣泉槛外来	槛
黄沙碛里客行迷	迷
四望云天直下低	低
为言地尽天还尽	天
行到安西更向西	西
忽惊春色二分空	空
满地榆钱逐晓风	满地
黄四娘家谁敢道	道
古来唯有杜陵翁	翁
月明独倚异乡楼	月明
北望天涯几许愁	愁
故国不归人意老	故国
无情汴水自东流	无情
吹箫人去竹房空	空
海内犹怜翰墨工	翰墨
最是西泠桥畔路	路
淡烟疏柳夕阳中	夕阳
关路入云平	平
泥涂自送迎	迎
书生无马癖	书生
客子效鸡鸣	鸡鸣
欲下荒庭意已阑	阑
一枝红药坐中看	一枝
东风不息成何事	东风
又醖春阴作夜寒	夜寒
星斗垂天月淡明	明
九衢歌鼓乐升平	九衢
当时常侍传呼处	当时
只有荒陂凫雁声	凫
茶饭家常没可陪	陪
临机元不在安排	元
门前有客来相访	门前
试问朝从何处来	试问
卢橘花开枫叶衰	花开
出门何处望京师	京师
沅湘日夜东流去	日夜
不为愁人住少时	住
喃喃解语凤凰儿	凤凰
曾听梨园竹里吹	曾
谁谓五陵年少子	年
还将此曲暗相随	暗
十方同聚会	十方
个个学无为	学
此是选佛场	选佛场
心空及第归	心
烟花淡淡雨声息	雨声
云脚疏疏日影红	红
桃花作雨梨花雪	雪
春在绿杨芳草中	春
金刹凭陵尺五天	尺五天
胜游何必羡登仙	羡
安期想见身千亿	身
汗漫人间若个边	人间
去年寒食后	寒食
今年寒食前	前
日日是好日	日
不是正中偏	偏
半依岩岫倚云端	倚
独立亭亭耐岁寒	岁寒
一事颇为清节累	累
秦时曾作大夫官	官
蹇驴踏雪灞桥春	春
画出茅茨野水滨	野
才见梅花诗便好	诗
梅花却是定诗人	梅花
莘野磻溪亦偶然	偶然
每逢耕钓忆前贤	忆
春风秋月闲来往	春风
只付时人一醉眠	人
点点残红缬燕泥	点点
书堂春暖日初迟	迟
绿杨影裹莺声碎	绿杨
正是南窗梦觉时	梦觉
费尽年年造化功	年年
精神全在雪霜中	精神
一枝映带窗前月	月
消得逋仙作主翁	仙
乌纱掷去不为官	掷
囊橐萧萧两袖寒	寒
写取一枝清瘦竹	清
秋风江上作钓竿	秋风
露侵驼褐晓寒轻	褐
星斗阑干分外明	明
寂寞小桥和梦过	梦
稻田深处草虫鸣	草
从来造化有何私	造化
自是梅花南北枝	梅花
只为北枝太寒苦	太
东君消息故应迟	迟
偶与云水会	偶
不与云水同	云水
云散水流去	水流
杳然天地空	空
日长渐觉逍遥乐	乐
何况终朝无事人	人
安得遂为无事者	安
人间万虑不关身	人间
走马温汤直隼飞	飞
相逢矍铄理征衣	相逢
军中得力儿男事	军中
入驿从容见落晖	从容
鲛绡泪滴鸳鸯冷	泪滴
月上栏杆照孤影	月上
踯躅开花过粉墙	开花
辘轳汲水敲金井	敲
秋光一片冷于冰	一片
山寺云深隐几僧	僧
画出江村太平意	意
渔樵无事岁丰登	岁
坐久不闻人语喧	喧
风枝吹动宿禽翻	翻
几家负却三更月	月
未到钟声已闭门	闭门
深巷寂无人	无人
鸟声花坞春	春
荜门长日掩	掩
天地一闲身	天地
水曹江左一诗家	诗家
几度哦梅到月斜	梅
二十四桥春色里	春色
相逢只是说琼花	相逢
饭了呼童叠石门	饭
雨余幽事不胜繁	雨余
花残不用深惆怅	深
梧竹新阴又满园	满园
本来包却太虚空	太
万象森罗立下风	风
假使悠悠千百世	悠悠
圣人复出此心同	此心
东越相逢几醉眠	相逢
满楼明月镜湖边	明月
别离吟断西陵渡	别离
杨柳秋风两岸蝉	秋风
两年无事坐窗间	坐
数尽西边不老山	山
薄暮忽迷云与树	云
惊来乍见别峰峦	峰峦
生憎长红涴浅白	浅白
只有疏影连暗香	暗香
凭君且置风月事	风月
一笑姑为时世妆	一笑
春色撩人不自由	春色
野花满地不忘忧	满地
多情为惜郎君力	力
暂借风流占上头	风流
碧桃树底醉流霞	醉
记得当年翠袖遮	当年
今日漂零歌扇在	今日
令人肠断故园花	花
昔人三箭定天山	昔人
自谓英雄盖世间	世间
何似雪峰一只箭	何似
等闲穿过石门关	关
云从西去又还东	西
不逐天回却逐风	逐风
春日岂无晴昼永	春日
扫除阴翳出长空	长空
突兀山边屋数间	间
每嫌斜照上阑干	阑干
当门只得添松盖	添
未到秋来夜已寒	夜
何事文星与酒星	何事
一时钟在李先生	先生
高吟大醉三千首	高吟
留著人间伴月明	人间
此夜西亭月正圆	月
疏帘相伴宿风烟	宿
梧桐莫更翻清露	翻
孤鹤从来不得眠	眠
无梅诗兴阑珊了	诗兴
无雪梅花冷淡休	梅花
懊恼天公堪恨处	懊恼
不教滕六到南州	不教
荒畦整整复斜斜	复
不种春风儿女花	春风
却笑过墙蝴蝶乱	笑
懒随野老问桑麻	问
北雁行行直	直
东流澹澹春	春
当时六朝客	客
还道帝乡人	道
天迥孤帆隐约归	孤帆
